dbn,school_name,Borough,grade_span,Latitude,Longitude,Total.Tested_Common.Core.Algebra,Mean.Score_Common.Core.Algebra,Percent.Students.Took.The.Test.For.CCAlgebra,Total.Tested_Common.Core.Algebra2,Mean.Score_Common.Core.Algebra2,Percent.Students.Took.The.Test.For.CCAlgebra2,Total.Tested_Common.Core.Geometry,Mean.Score_Common.Core.Geometry,Percent.Students.Took.The.Test.For.CCGeometry,Total.Tested_Living.Environment,Mean.Score_Living.Environment,Percent.Students.Took.The.Test.For.LE,Total.Tested_Physical.Settings.Earth.Science,Mean.Score_Physical.Settings.Earth.Science,Percent.Students.Took.The.Test.For.ES,Total.Tested_Physical.Settings.Chemistry,Mean.Score_Physical.Settings.Chemistry,Percent.Students.Took.The.Test.For.Chemistry,Total.Tested_Physical.Settings.Physics,Mean.Score_Physical.Settings.Physics,Percent.Students.Took.The.Test.For.Physics,Mbps.Bandwidth,Full.Time.Certified.STEM.Teachers,Part.Time.Certified.STEM.Teachers,Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students,Number.of.CS.Courses,Number.of.AP.CS.Courses,number.of.Full.CS.Courses,number.of.Partial.CS.Courses,Total.Teacher.Response.Rate,Percent.of.STEMTeachers.That.Agree.With.17a,Percent.of.STEMTeachers.That.Agree.With.17b,Percent.of.STEMTeachers.That.Agree.With.17c,K.12.Enrollment_2017.18,K.12.FRPL.Count_2017.18,Classroom.Teachers.w..0.3.Years.Experience_2017.18,Classroom.Teachers.w..More.than.3.Years.Experience_2017.18,Classroom.Teachers_2017.18,Total.School.Funding.per.Pupil_2017.18,School_Type,Percent.Poverty,STEM_AP_Courses_Offered,club_number
21K410,Abraham Lincoln High School,BROOKLYN ,9 to 12,40.581681,-73.967308,698,62.3,0.349349349,87,74.3,0.043543544,319,54.4,0.15965966,647,65,0.323823824,185,60.7,0.092592593,103,61.2,0.051551552,58,67.8,0.029029029,40,34,0,0.017017017,7,1,5,2,0.9,0.88,0.88,0.88,1998,1545,23,104,10998521,20884.46,High School,0.795,2,1
21K468,Kingsborough Early College School,BROOKLYN ,6 to 12,40.594291,-73.98577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,10,0,0.0152207,1,1,1,0,0.95,1,1,1,657,465,5.5,32,3546924,19739.52,High School,0.723,2,NA
21K525,Edward R. Murrow High School,BROOKLYN ,9 to 12,40.620525,-73.959285,794,71.5,0.209553972,432,70.9,0.114014252,680,68.6,0.179466878,781,69.2,0.206122988,570,63.2,0.150435471,514,65.5,0.135655846,115,68.6,0.030351016,100,50,0,0.013196094,3,2,2,1,0.87,0.95,0.96,0.96,3789,2657,23.5,185,19578381,19889.68,High School,0.71,6,1
21K540,John Dewey High School,BROOKLYN ,9 to 12,40.589268,-73.981738,782,66.3,0.338674751,258,71.6,0.111736683,554,61.1,0.239930706,667,67.7,0.288869641,24,48.8,0.01039411,213,67,0.092247726,42,59.2,0.018189693,50,40,0,0.017323517,6,2,3,3,0.81,0.94,0.74,0.87,2309,1914,49,92,12094046,20804.32,High School,0.842,8,3
21K559,Life Academy High School for Film and Music,BROOKLYN ,9 to 12,40.594291,-73.98577,138,66.3,0.455445545,10,77.6,0.0330033,109,60.7,0.359735974,107,63.7,0.353135314,80,64.8,0.264026403,25,65.6,0.082508251,NA,NA,NA,50,4,0,0.01320132,NA,NA,NA,NA,0.59,NA,NA,NA,303,233,5,15,1801901,21578.61,High School,0.776,1,0
21K572,Expeditionary Learning School for Community Leaders,BROOKLYN ,9 to 12,40.594291,-73.98577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,9,0,0.025936599,2,0,1,1,0.96,1,1,1,NA,NA,NA,NA,NA,NA,High School,0.83,0,1
21K620,William E. Grady Career and Technical Education High School,BROOKLYN ,9 to 12,40.582585,-73.963477,188,63.4,0.410480349,12,58.6,0.026200873,47,54.4,0.102620087,187,64.2,0.408296943,39,59.5,0.085152838,2,NA,0.004366812,NA,NA,NA,40,8,2,0.017467249,1,1,1,0,0.93,0.8,0.8,0.8,458,407,10.6,28,3310885,33557.28,High School,0.9,1,2
21K690,Brooklyn Studio Secondary School,BROOKLYN ,6 to 12,40.604879,-73.994404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0.010615711,1,1,1,0,0.46,1,1,1,942,715,11,46.7,5238516,20835.51,High School,0.775,1,1
21K728,Liberation Diploma Plus High School,BROOKLYN ,"School is structured on credit needs, not grade level",40.577208,-73.985953,36,53.7,0.16,NA,NA,NA,NA,NA,NA,44,57.7,0.195555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,0,0.017777778,NA,NA,NA,NA,0.43,NA,NA,NA,225,198,0.2,12,999636,24290.42,High School,0.889,0,0
22K405,Midwood High School,BROOKLYN ,9 to 12,40.633237,-73.952929,806,70.3,0.19862001,754,78.6,0.185805816,893,74,0.220059142,678,76.3,0.167077378,499,71,0.122966979,715,76.8,0.17619517,473,74.1,0.116559882,30,61,0,0.015032035,6,1,2,4,0.86,0.88,0.86,0.93,4058,3033,39,153,18463713,17602.17,High School,0.753,8,0
22K425,James Madison High School,BROOKLYN ,9 to 12,40.609912,-73.948512,1229,67.8,0.336067815,435,71.8,0.118949959,870,65.7,0.237899918,1077,69.3,0.294503692,231,73.8,0.06316653,440,69.5,0.1203172,147,71.7,0.040196883,50,54,0,0.014766202,3,1,2,1,0.97,0.95,0.86,0.91,3657,2794,36,163.2,19541063,18613.03,High School,0.774,6,1
22K535,Leon M. Goldstein High School for the Sciences,BROOKLYN ,9 to 12,40.580894,-73.935952,90,77,0.089020772,227,80.4,0.224530168,230,79.8,0.227497527,149,81.1,0.147378833,59,69.6,0.058358061,211,81.6,0.208704253,213,82.5,0.210682493,20,21,0,0.020771513,5,1,1,4,0.62,0.75,0.75,0.92,1011,508,6.7,49,5294688,19330.98,High School,0.512,6,1
22K555,Brooklyn College Academy,BROOKLYN ,9 to 12,40.649404,-73.971736,111,70.5,0.178456592,101,75.9,0.162379421,198,71.1,0.318327974,NA,NA,NA,164,78.6,0.263665595,187,69.6,0.300643087,NA,NA,NA,20,10,0,0.01607717,NA,NA,NA,NA,1,1,1,1,622,438,12.5,20,2685153,17509.7,High School,0.706,0,NA
22K611,Origins High School,BROOKLYN ,9 to 12,40.594124,-73.937696,131,65.5,0.306791569,8,55.3,0.018735363,96,60.1,0.224824356,91,64.1,0.213114754,98,60.6,0.229508197,10,52.7,0.023419204,NA,NA,NA,40,8,0,0.018735363,NA,NA,NA,NA,0.79,1,0.88,0.88,427,323,20,14,2519685,23926.62,High School,0.775,0,1
22K630,Professional Pathways High School,BROOKLYN ,"School is structured on credit needs, not grade level",40.594124,-73.937696,66,63,0.32195122,NA,NA,NA,15,47.9,0.073170732,53,61.4,0.258536585,27,64.9,0.131707317,NA,NA,NA,NA,NA,NA,40,6,0,0.029268293,NA,NA,NA,NA,1,1,1,1,205,165,3,15,1449792,24345.72,High School,0.81,0,0
23K493,Brooklyn Collegiate: A College Board School,BROOKLYN ,9 to 12,40.674103,-73.913273,142,60.8,0.52398524,37,58.2,0.136531365,23,47.9,0.084870849,124,58.4,0.457564576,33,57.1,0.121771218,31,53.5,0.114391144,5,NA,0.018450185,50,6,0,0.022140221,NA,NA,NA,NA,1,1,1,1,271,255,9.2,13,1791929,29374.44,High School,0.948,1,0
23K514,Frederick Douglass Academy VII High School,BROOKLYN ,9 to 12,40.665878,-73.911705,49,61.1,0.312101911,5,NA,0.031847134,11,53.8,0.070063694,37,63.5,0.23566879,27,58.5,0.171974522,15,67.7,0.095541401,NA,NA,NA,40,5,0,0.031847134,NA,NA,NA,NA,1,1,1,1,157,145,5,10,1002043,30861.24,High School,0.93,0,NA
23K644,Eagle Academy for Young Men II,BROOKLYN ,6 to 12,40.677805,-73.915843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,13,0,0.020092736,NA,NA,NA,NA,0.8,1,1,1,647,518,14,27,3099392,20929.12,High School,0.822,0,NA
23K647,Metropolitan Diploma Plus High School,BROOKLYN ,"School is structured on credit needs, not grade level",40.656068,-73.907245,32,69,0.147465438,NA,NA,NA,1,NA,0.004608295,33,70.1,0.152073733,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,0,0.01843318,NA,NA,NA,NA,1,1,1,1,217,202,9,10,1646158,27071,High School,0.931,0,NA
23K697,Teachers Preparatory High School,BROOKLYN ,8 to 12,40.665878,-73.911705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,6,0,0.024,1,1,1,0,0.88,0.89,0.89,0.89,250,220,6,19,1584988,35034.85,High School,0.896,0,0
24Q236,International High School for Health Sciences,QUEENS   ,9 to 12,40.741122,-73.874721,124,57,0.403908795,1,NA,0.003257329,13,64.1,0.042345277,NA,NA,NA,1,NA,0.003257329,NA,NA,NA,NA,NA,NA,50,11,0,0.035830619,NA,NA,NA,NA,1,0.89,0.89,0.89,307,286,7,15,1875263,22527.77,High School,0.948,0,2
24Q264,Academy of Finance and Enterprise,QUEENS   ,9 to 12,40.745095,-73.936635,153,74.4,0.255852843,149,72.5,0.24916388,184,70.1,0.307692308,151,77.9,0.252508361,83,79.3,0.138795987,156,75.1,0.260869565,50,80.5,0.08361204,100,9,0,0.015050167,1,0,0,1,1,1,1,1,598,487,5,27,2861981,18274.43,High School,0.824,1,0
24Q267,High School of Applied Communication,QUEENS   ,9 to 12,40.745095,-73.936635,146,62.1,0.350119904,134,61.2,0.321342926,49,53.8,0.117505995,40,56.4,0.095923261,179,59,0.429256595,58,56.9,0.139088729,NA,NA,NA,100,6,0,0.014388489,NA,NA,NA,NA,0.93,0.89,0.67,0.67,417,322,8,18,2344924,20242.25,High School,0.784,1,0
24Q293,Civic Leadership Academy,QUEENS   ,9 to 12,40.74373,-73.870642,167,73.9,0.315689981,171,69,0.323251418,66,67.1,0.124763705,150,75.2,0.283553875,91,71.1,0.172022684,37,70.3,0.069943289,30,72.3,0.056710775,40,8,0,0.015122873,1,1,1,0,1,1,1,1,529,404,2.7,30,3042418,19970.46,High School,0.777,1,NA
24Q296,Pan American International High School,QUEENS   ,9 to 12,40.74373,-73.870642,267,66.1,0.594654788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,11,0,0.024498886,1,1,1,0,0.88,1,1,1,449,375,13,28,2878198,24656.08,High School,0.909,0,0
24Q299,Bard High School Early College Queens,QUEENS   ,9 to 12,40.745095,-73.936635,36,79.3,0.057784912,NA,NA,NA,2,NA,0.003210273,49,85.6,0.078651685,NA,NA,NA,1,NA,0.001605136,NA,NA,NA,100,13,0,0.020866774,2,0,0,2,0.6,1,1,1,623,251,10.7,28,3362200,18139.56,High School,0.416,0,2
24Q455,Newtown High School,QUEENS   ,9 to 12,40.741122,-73.874721,568,66.2,0.295679334,165,62.1,0.085892764,334,62.3,0.173867777,582,67,0.302967205,376,67.3,0.19573139,79,61.8,0.041124414,22,65.3,0.011452369,50,29,0,0.015096304,8,0,1,7,0.79,1,1,1,1921,1522,19,94,10639089,21845.79,High School,0.815,2,2
24Q485,Grover Cleveland High School,QUEENS   ,9 to 12,40.711033,-73.908814,523,64.6,0.294647887,98,71.3,0.055211268,208,65.9,0.117183099,469,66.8,0.264225352,417,61,0.234929577,94,58.6,0.052957746,20,50.7,0.011267606,50,28,0,0.015774648,11,1,1,10,0.45,0.78,0.89,0.89,1775,1269,15,89,10522224,21416.21,High School,0.734,5,1
24Q520,Middle College High School at LaGuardia Community College,QUEENS   ,9 to 12,40.744412,-73.93364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,9,0,0.017647059,1,0,0,1,0.89,1,1,1,510,354,2,23,2491726,19979.5,High School,0.71,0,0
24Q530,International High School at LaGuardia Community College,QUEENS   ,9 to 12,40.744412,-73.93364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,13,1,0.024667932,NA,NA,NA,NA,0.97,1,1,1,527,358,5.2,24,2754150,20594.47,High School,0.71,0,0
24Q550,High School for Arts and Business,QUEENS   ,9 to 12,40.737427,-73.853178,246,67,0.302955665,277,64.8,0.341133005,230,62.5,0.283251232,217,71.5,0.267241379,120,61.2,0.147783251,221,61.9,0.272167488,58,70.2,0.071428571,40,15,0,0.018472906,NA,NA,NA,NA,0.92,0.86,0.93,0.93,812,574,6,42,4688869,19981.48,High School,0.725,1,1
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",QUEENS   ,7 to 12,40.742839,-73.936782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,10,0,0.015037594,NA,NA,NA,NA,0.68,1,1,1,665,512,8,30,3491575,19232.03,High School,0.776,1,0
24Q585,Maspeth High School,QUEENS   ,9 to 12,40.729939,-73.887482,283,73.1,0.236622074,272,70.7,0.227424749,284,70,0.237458194,401,78.2,0.335284281,94,73.7,0.078595318,249,61.4,0.20819398,128,61,0.107023411,50,18,0,0.015050167,NA,NA,NA,NA,0.68,0.93,0.93,0.93,1196,758,28,40,5146837,17563.79,High School,0.645,4,3
24Q600,Queens Vocational and Technical High School,QUEENS   ,9 to 12,40.742205,-73.928219,540,67.1,NA,194,60.9,NA,397,56.4,NA,459,67.1,NA,326,71.7,NA,213,54.2,NA,21,58.9,NA,50,22,0,0.014230272,13,0,1,12,0.8,0.81,0.88,0.81,NA,NA,NA,NA,NA,NA,High School,0.856,3,2
24Q610,Aviation Career & Technical Education High School,QUEENS   ,9 to 12,40.743509,-73.929076,319,78.1,0.153071017,365,79.1,0.175143954,551,76.3,0.264395393,318,81.1,0.152591171,404,80.2,0.193857965,283,74.6,0.135796545,167,84,0.080134357,100,25,0,0.011996161,NA,NA,NA,NA,0.87,0.82,0.81,0.77,2084,1311,12,117,13078257,20572.89,High School,0.646,4,2
25Q240,Veritas Academy,QUEENS   ,9 to 12,40.765166,-73.82789,174,64.6,0.311827957,36,70.5,0.064516129,138,61.6,0.247311828,173,64,0.310035842,158,62.2,0.283154122,36,63.2,0.064516129,3,NA,0.005376344,200,10,0,0.017921147,2,2,2,0,1,1,1,1,558,421,22.9,17,3072767,21370.75,High School,0.756,1,0
25Q241,Queens High School for Language Studies,QUEENS   ,9 to 12,40.765166,-73.82789,133,74.5,0.31147541,211,69,0.494145199,6,49.8,0.014051522,128,76.7,0.299765808,98,75.6,0.229508197,89,69.6,0.208430913,15,57.8,0.035128806,200,10,0,0.023419204,1,0,1,0,0.97,1,0.67,0.89,427,342,10,18.6,2179003,19284.99,High School,0.867,3,0
25Q252,"Queens School of Inquiry, The",QUEENS   ,6 to 12,40.724458,-73.810216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,14,1,0.024305556,1,0,1,0,0.98,1,1,1,576,344,13.3,36,4044981,23903.21,High School,0.613,1,1
25Q263,Flushing International High School,QUEENS   ,9 to 12,40.759844,-73.820548,167,60,0.377828054,6,83.2,0.013574661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,0,0.022624434,NA,NA,NA,NA,0.97,1,1,1,442,385,2,27,2638199,21374.66,High School,0.925,0,1
25Q281,East-West School of International Studies,QUEENS   ,6 to 12,40.749545,-73.822073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,0,0.023112481,1,1,1,0,0.95,0.83,0.83,0.94,649,560,18.5,39,4758106,23501.11,High School,0.866,3,0
25Q285,World Journalism Preparatory: A College Board School,QUEENS   ,6 to 12,40.765133,-73.790083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,11,0,0.019400353,4,1,1,3,1,1,1,1,567,320,5,32,3295696,20175.24,High School,0.57,1,0
25Q425,John Bowne High School,QUEENS   ,9 to 12,40.738139,-73.824944,1853,66.7,0.514579284,497,68.9,0.138017217,616,60.9,0.171063593,1000,70.7,0.277700639,563,66.4,0.15634546,305,67.8,0.084698695,95,69.9,0.026381561,50,52,0,0.014440433,7,2,2,5,0.72,0.95,0.95,0.95,3601,2693,28,174,19239682,19522.8,High School,0.771,6,4
25Q460,Flushing High School,QUEENS   ,9 to 12,40.765166,-73.82789,726,62.2,0.429078014,143,66.5,0.084515366,224,56.9,0.132387707,592,63,0.349881797,177,61,0.104609929,82,61.2,0.048463357,25,78.9,0.014775414,200,29,0,0.01713948,1,1,1,0,0.5,0.91,0.91,0.91,1692,1256,27,94,11219986,23849.03,High School,0.764,4,0
25Q525,Townsend Harris High School,QUEENS   ,9 to 12,40.73439,-73.821392,50,87.1,0.043821209,304,89.2,0.266432954,261,91.8,0.228746713,122,90.9,0.106923751,NA,NA,NA,306,85.3,0.268185802,301,90.5,0.263803681,100,16,0,0.014022787,15,2,3,12,0.72,0.75,0.83,1,1141,625,4,52,5577552,17917.65,High School,0.554,7,4
25Q670,Robert F. Kennedy Community High School,QUEENS   ,9 to 12,40.725603,-73.810697,175,72.1,0.231481481,72,72,0.095238095,132,67.4,0.174603175,213,68.9,0.281746032,194,69.9,0.256613757,111,71.3,0.146825397,NA,NA,NA,40,15,0,0.01984127,4,0,0,4,0.91,0.92,0.92,0.85,756,608,6,36,4148953,20210.41,High School,0.81,0,1
26Q315,Business Technology Early College High School (BTECH),QUEENS   ,9 to 13,40.733066,-73.738756,166,63.1,0.393364929,73,58.4,0.172985782,154,55.3,0.36492891,152,67.6,0.360189573,124,61.8,0.293838863,66,51.9,0.156398104,1,NA,0.002369668,40,8,0,0.018957346,NA,NA,NA,NA,1,1,0.8,0.6,422,326,12,18,2414221,20455.32,High School,0.787,0,NA
26Q415,Benjamin N. Cardozo High School,,9 to 12,40.752333,-73.75599,823,69.4,0.222492566,628,75.2,0.169775615,737,74,0.199243039,848,75,0.229251149,110,54.6,0.029737767,702,71.5,0.189781022,458,72.8,0.123817248,40,48,0,0.01297648,2,1,2,0,0.71,0.86,0.89,0.92,3699,2459,20,152,17738520,16889.58,High School,0.673,5,2
26Q430,Francis Lewis High School,QUEENS   ,9 to 12,40.740724,-73.79283,786,79.2,0.172481896,905,80.6,0.198595567,994,77,0.21812596,1022,79.3,0.224270353,413,71.9,0.0906298,789,77.4,0.173140224,600,80,0.131665569,50,69,0,0.01514154,4,2,2,2,0.62,0.93,0.93,0.95,4557,3302,32,210,22158141,18132.85,High School,0.734,7,2
26Q435,Martin Van Buren High School,QUEENS   ,9 to 12,40.733066,-73.738756,478,62.1,0.407155026,243,59.5,0.206984668,230,50.5,0.195911414,377,66.4,0.321124361,184,58.4,0.156729131,121,59.2,0.10306644,18,62.4,0.015332198,40,22,0,0.018739353,6,1,3,3,0.99,0.95,0.86,0.95,1174,886,5.7,75,7465558,22883.53,High School,0.78,2,1
26Q495,Bayside High School,QUEENS   ,9 to 12,40.771755,-73.780296,851,69.3,0.281415344,1434,69.1,0.474206349,190,53.5,0.062830688,792,72.5,0.261904762,162,50.5,0.053571429,973,61.9,0.321759259,320,70.9,0.105820106,100,55,0,0.018187831,4,0,0,4,0.87,0.98,0.9,0.96,3024,2205,12.3,154,15560205,19545.22,High School,0.743,2,2
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",QUEENS   ,9 to 12,40.746088,-73.727535,398,62.9,0.370922647,61,70.5,0.056849953,281,53,0.261882572,320,68.7,0.298229264,257,60.2,0.239515377,51,67.3,0.047530289,3,NA,0.002795899,40,17,0,0.01584343,1,1,1,0,0.54,0.75,0.56,0.56,1073,570,9.3,50,5868125,20215.63,High School,0.561,2,0
27Q260,Frederick Douglass Academy VI High School,QUEENS   ,9 to 12,40.60201,-73.762795,140,57.1,0.401146132,7,67.7,0.020057307,11,37.8,0.031518625,117,58.9,0.335243553,31,49.4,0.088825215,NA,NA,NA,NA,NA,NA,200,5,0,0.014326648,NA,NA,NA,NA,0.91,NA,NA,NA,349,269,3,18,2424213,25803.38,High School,0.799,1,0
27Q262,Channel View School for Research,QUEENS   ,6 to 12,40.586066,-73.822624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,15,0,0.016891892,NA,NA,NA,NA,0.99,0.95,0.9,0.9,888,645,18,50,6054799,22935.88,High School,0.736,1,3
27Q302,"Queens High School for Information, Research, and Technology",QUEENS   ,9 to 12,40.60201,-73.762795,232,61.7,0.523702032,43,71.7,0.097065463,115,51.8,0.259593679,193,58.6,0.435665914,133,57.9,0.300225734,36,62.9,0.081264108,NA,NA,NA,200,7,0,0.015801354,7,1,3,4,0.9,0.88,1,1,443,317,5.2,24,2758442,21719.91,High School,0.743,1,1
27Q308,Robert H. Goddard High School of Communication Arts and Technology,QUEENS   ,9 to 12,40.67124,-73.845141,195,70.9,0.314009662,198,67.9,0.31884058,27,56.6,0.043478261,180,73.4,0.289855072,145,69.7,0.233494364,83,64.1,0.133655395,41,70.1,0.066022544,40,10,0,0.01610306,3,1,2,1,0.98,1,1,1,621,464,2,36,3360141,18826.31,High School,0.757,1,0
27Q309,Academy of Medical Technology: A College Board School,QUEENS   ,6 to 12,40.60201,-73.762795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,15,0,0.023474178,1,1,1,0,0.86,0.93,0.86,0.86,639,502,6,42,4253600,20579.75,High School,0.8,2,0
27Q314,Epic High School - South,QUEENS   ,9 to 12,40.675771,-73.816938,172,55.5,0.522796353,34,51.6,0.103343465,74,48.8,0.224924012,118,62.3,0.358662614,36,53.1,0.109422492,42,54,0.127659574,NA,NA,NA,20,7,0,0.021276596,NA,NA,NA,NA,0.72,0.67,0.83,0.83,329,225,11,12,2273673,21055.46,High School,0.705,0,0
27Q323,Scholars' Academy,QUEENS   ,6 to 12,40.584109,-73.825711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,28,0,0.020348837,1,1,1,0,0.99,0.94,0.94,0.94,1376,651,25.5,50,6245335,16649.84,High School,0.481,5,3
27Q324,Rockaway Park High School for Environmental Sustainability,QUEENS   ,9 to 12,40.586066,-73.822624,101,61.2,0.333333333,30,54.1,0.099009901,50,45.1,0.165016502,62,61.4,0.204620462,40,56.2,0.132013201,8,56.3,0.02640264,NA,NA,NA,40,6,0,0.01980198,1,1,1,0,0.76,NA,NA,NA,303,270,3.5,20,1926066,26079.23,High School,0.894,0,0
27Q334,Epic High School - North,QUEENS   ,9 to 12,40.693006,-73.829407,172,59.5,0.441025641,27,52.6,0.069230769,1,NA,0.002564103,156,65.1,0.4,8,41.3,0.020512821,23,57.3,0.058974359,NA,NA,NA,50,9,0,0.023076923,1,1,1,0,0.88,0.89,0.67,0.78,390,286,10,12,1968624,20017.25,High School,0.756,1,NA
27Q351,Rockaway Collegiate High School,QUEENS   ,9 to 12,40.586066,-73.822624,140,57,0.425531915,11,55.6,0.03343465,37,55.4,0.112462006,113,60.1,0.343465046,33,64.1,0.100303951,12,61.5,0.036474164,NA,NA,NA,40,7,0,0.021276596,NA,NA,NA,NA,0.71,0.67,0.83,1,329,260,12,14,2058765,24577.11,High School,0.802,2,0
27Q400,August Martin High School,QUEENS   ,9 to 12,40.675633,-73.783342,185,60.1,0.553892216,NA,NA,NA,98,50.8,0.293413174,145,60.7,0.434131737,138,56.1,0.413173653,4,NA,0.011976048,NA,NA,NA,50,6,0,0.017964072,NA,NA,NA,NA,0.9,1,1,1,334,284,11,17,2701206,32665.49,High School,0.862,0,0
27Q475,Richmond Hill High School,QUEENS   ,9 to 12,40.695888,-73.833681,622,62.3,0.370017847,81,63.9,0.048185604,361,57.6,0.214753123,585,63.2,0.348007139,260,67.6,0.154669839,37,73.4,0.022010708,27,66.5,0.016061868,50,39,0,0.023200476,3,0,3,0,0.85,0.83,0.79,0.79,1681,1330,28,103,11615388,24497.41,High School,0.81,2,1
27Q480,John Adams High School,QUEENS   ,9 to 12,40.679639,-73.837298,928,66.1,0.406839106,141,59.8,0.061814993,456,64.7,0.199912319,958,66.7,0.419991232,254,56.5,0.111354669,253,58.1,0.110916265,19,58.9,0.00832968,50,46,0,0.020166594,4,1,1,3,0.96,0.92,0.92,0.92,2281,1794,70,101.7,13920720,22668.12,High School,0.813,5,3
27Q650,"High School for Construction Trades, Engineering and Architecture",QUEENS   ,9 to 12,40.689591,-73.840717,252,72.3,0.245374878,257,68.8,0.250243427,333,68.1,0.324245375,229,74.2,0.222979552,446,76.3,0.434274586,63,62.1,0.06134372,106,67.2,0.103213242,20,21,0,0.020447907,1,1,1,0,0.86,0.84,0.89,0.84,1027,606,11,50,6014577,19818.5,High School,0.613,5,2
28Q167,Metropolitan Expeditionary Learning School,QUEENS   ,6 to 12,40.711367,-73.856698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,15,0,0.01783591,NA,NA,NA,NA,0.91,0.84,0.79,0.84,841,598,11,57,5360185,20253.58,High School,0.721,1,1
28Q284,York Early College Academy,QUEENS   ,6 to 12,40.69719,-73.787192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,9,0,0.013931889,2,0,2,0,0.97,0.83,1,1,646,462,2.5,29,2812120,17455.42,High School,0.745,0,NA
28Q310,Queens Collegiate: A College Board School,QUEENS   ,6 to 12,40.713218,-73.797237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,0,0.020864382,NA,NA,NA,NA,0.88,0.88,0.81,0.88,671,578,8,40,3946262,20398.64,High School,0.879,2,0
28Q325,Hillside Arts & Letters Academy,QUEENS   ,9 to 12,40.713218,-73.797237,139,71.2,0.29764454,31,69.8,0.066381156,68,60.1,0.145610278,131,68.1,0.280513919,90,65.2,0.192719486,23,46.3,0.049250535,NA,NA,NA,50,7,0,0.014989293,2,1,2,0,1,0.9,0.9,0.9,467,377,5,24,2330412,22215.04,High School,0.816,2,0
28Q328,High School for Community Leadership,QUEENS   ,9 to 12,40.713218,-73.797237,130,74.1,0.277185501,36,81.4,0.076759062,79,71,0.168443497,108,77.1,0.230277186,NA,NA,NA,39,71.2,0.08315565,26,65,0.0554371,50,11,0,0.023454158,NA,NA,NA,NA,0.77,0.89,0.89,0.89,469,381,4.6,25,2364599,20096.35,High School,0.825,1,NA
28Q350,Jamaica Gateway to the Sciences,QUEENS   ,9 to 12,40.713218,-73.797237,141,68.5,0.27592955,86,74.9,0.168297456,142,68,0.277886497,139,71.9,0.272015656,57,63.1,0.111545988,100,67.1,0.195694716,56,72.1,0.109589041,50,9,0,0.017612524,2,1,2,0,0.94,1,1,1,511,379,7,22,2291010,19578.04,High School,0.755,2,1
28Q440,Forest Hills High School,QUEENS   ,9 to 12,40.729402,-73.845637,1609,69.1,0.425323817,600,77.3,0.158604282,689,74.1,0.182130584,813,70.6,0.214908803,642,70.3,0.169706582,515,71.5,0.136135342,443,71.5,0.117102828,100,53,0,0.014010045,1,1,1,0,0.61,0.86,0.92,0.92,3783,2764,26,178,19545711,18280.82,High School,0.74,7,1
