dbn,school_name,Borough,grade_span,Latitude,Longitude,Total.Tested_Common.Core.Algebra,Mean.Score_Common.Core.Algebra,Percent.Students.Took.The.Test.For.CCAlgebra,Total.Tested_Common.Core.Algebra2,Mean.Score_Common.Core.Algebra2,Percent.Students.Took.The.Test.For.CCAlgebra2,Total.Tested_Common.Core.Geometry,Mean.Score_Common.Core.Geometry,Percent.Students.Took.The.Test.For.CCGeometry,Total.Tested_Living.Environment,Mean.Score_Living.Environment,Percent.Students.Took.The.Test.For.LE,Total.Tested_Physical.Settings.Earth.Science,Mean.Score_Physical.Settings.Earth.Science,Percent.Students.Took.The.Test.For.ES,Total.Tested_Physical.Settings.Chemistry,Mean.Score_Physical.Settings.Chemistry,Percent.Students.Took.The.Test.For.Chemistry,Total.Tested_Physical.Settings.Physics,Mean.Score_Physical.Settings.Physics,Percent.Students.Took.The.Test.For.Physics,Mbps.Bandwidth,Full.Time.Certified.STEM.Teachers,Part.Time.Certified.STEM.Teachers,Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students,Number.of.CS.Courses,Number.of.AP.CS.Courses,number.of.Full.CS.Courses,number.of.Partial.CS.Courses,Total.Teacher.Response.Rate,Percent.of.STEMTeachers.That.Agree.With.17a,Percent.of.STEMTeachers.That.Agree.With.17b,Percent.of.STEMTeachers.That.Agree.With.17c,K.12.Enrollment_2017.18,K.12.FRPL.Count_2017.18,Classroom.Teachers.w..0.3.Years.Experience_2017.18,Classroom.Teachers.w..More.than.3.Years.Experience_2017.18,Classroom.Teachers_2017.18,Total.School.Funding.per.Pupil_2017.18,School_Type,Percent.Poverty,STEM_AP_Courses_Offered,club_number
12X321,Crotona Academy High School,BRONX    ,"School is structured on credit needs, not grade level",40.829306,-73.892243,60,56.2,NA,NA,NA,NA,34,52.6,NA,47,61.7,NA,20,47.7,NA,NA,NA,NA,NA,NA,NA,100,4,0,0.03125,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,High School,NA,0,NA
12X372,Urban Assembly School for Wildlife Conservation,BRONX    ,6 to 12,40.843781,-73.884192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12,0,0.025369979,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,High School,NA,0,NA
12X388,Pan American International High School at Monroe,BRONX    ,9 to 12,40.831601,-73.878912,127,67.4,0.265690377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,11,0,0.023012552,NA,NA,NA,NA,1,1,1,1,478,448,15.2,19,2787560,22721.5,High School,0.95,0,0
12X478,The Cinema School,BRONX    ,9 to 12,40.831416,-73.877785,84,68.4,0.289655172,61,54,0.210344828,88,61.3,0.303448276,82,70.6,0.282758621,78,66.1,0.268965517,54,58.6,0.186206897,2,NA,0.006896552,100,6,0,0.020689655,NA,NA,NA,NA,0.96,NA,NA,NA,290,249,10,13,1489719,21194.81,High School,0.866,0,0
12X479,Bronx Career and College Preparatory High School,BRONX    ,9 to 12,40.827743,-73.900105,108,57.6,0.42519685,9,52.1,0.035433071,63,41.5,0.248031496,56,58.9,0.220472441,52,53.4,0.204724409,13,58.2,0.051181102,NA,NA,NA,100,6,0,0.023622047,NA,NA,NA,NA,0.92,0.78,0.67,0.78,254,224,8,16,1619340,27889.57,High School,0.902,0,0
12X511,Bronx Envision Academy,BRONX    ,9 to 12,40.8359,-73.890458,213,56.9,0.496503497,21,66.4,0.048951049,34,56,0.079254079,191,59.4,0.445221445,80,54.3,0.186480186,17,58.1,0.03962704,NA,NA,NA,100,7,0,0.016317016,1,1,1,0,0.81,1,1,1,429,379,11,21,2727106,23221.95,High School,0.9,2,0
12X521,The Metropolitan Soundview High School,BRONX    ,9 to 12,40.831601,-73.878912,116,61,0.27039627,20,61.8,0.046620047,92,53.8,0.214452214,123,64.9,0.286713287,74,65.8,0.172494172,2,NA,0.004662005,NA,NA,NA,100,12,0,0.027972028,NA,NA,NA,NA,0.74,0.89,0.78,0.78,429,414,8.2,28,2945225,24257.11,High School,0.95,1,0
12X550,High School of World Cultures,BRONX    ,9 to 12,40.831601,-73.878912,261,61.3,0.582589286,103,55.2,0.229910714,9,58.6,0.020089286,69,58.8,0.154017857,201,53.2,0.448660714,NA,NA,NA,24,41.6,0.053571429,100,8,0,0.017857143,NA,NA,NA,NA,0.91,0.57,0.71,0.71,448,425,15,15,2750511,22674.66,High School,0.95,0,0
12X682,Fannie Lou Hamer Freedom High School,BRONX    ,9 to 12,40.83087,-73.88626,4,NA,0.00845666,NA,NA,NA,NA,NA,NA,2,NA,0.00422833,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,11,0,0.023255814,2,0,1,1,0.94,0.91,0.91,0.91,473,395,8.3,26,2982444,24852.97,High School,0.848,0,0
12X684,Wings Academy,BRONX    ,9 to 12,40.841794,-73.875366,157,59,0.319755601,1,NA,0.00203666,10,61.1,0.020366599,179,57,0.364562118,42,55.7,0.085539715,1,NA,0.00203666,NA,NA,NA,100,8,0,0.016293279,1,1,1,0,0.52,NA,NA,NA,491,431,6,26,3021736,22414.41,High School,0.884,1,NA
