"","dbn","School.Name","Borough","gradespan","Latitude","Longitude","Number.Tested","Mean.Scale.Math.Score","%Level1","%Level2","%Level3","%Level4","%Level3&4","Mbps.Bandwidth","Full.Time.Certified.STEM.Teachers","Part.Time.Certified.STEM.Teachers","Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students","Total.Teacher.Response.Rate","Percent.of.STEMTeachers.That.Agree.With.17a","Percent.of.STEMTeachers.That.Agree.With.17b","Percent.of.STEMTeachers.That.Agree.With.17c","Percent.Poverty","K.12.Enrollment","K.12.FRPL.Count","Classroom.Teachers.w..0.3.Years.Experience","Classroom.Teachers.w..More.than.3.Years.Experience","Classroom.Teachers","Total.School.Funding.per.Pupil","Salary.Per.Classroom.Teacher"
"331","10X059","P.S. 059 The Community School of Technology","BRONX","PK-5",40.853141,-73.893639,276,586,48.6,29.3,17,5.1,22.1,100,0,0,0,"93%",1,0.91,1,0.95,517,517,9,45,4585083,28694.32,84908.9444444444
"332","10X077","Bedford Park Elementary School","BRONX","PK-4",40.872559,-73.875375,68,590,41.2,23.5,23.5,11.8,35.3,100,0,0,0,"92%",NA,NA,NA,0.872,324,282,16,8,2173020,20560.84,90542.5
"333","10X080","JHS 080 The Mosholu Parkway (M.S. 80)","BRONX    "," 6-8",40.876299,-73.881532,484,589,49.2,30.4,13.6,6.8,20.5,100,11,0,0.0159189580318379,"100%",1,0.94,0.94,0.91,691,626,38,12,3543769,23998.23,70875.38
"334","10X081","P.S. 081 Robert J. Christen","BRONX","K-5",40.903275,-73.904657,253,608,10.7,20.9,37.2,31.2,68.4,100,0,0,0,"100%",NA,NA,NA,0.486,725,348,11,40,4553352,21314.6,89281.4117647059
"335","10X085","P.S. 085 Great Expectations","BRONX","PK-5",40.858689,-73.894682,447,585,55.5,27.3,14.5,2.7,17.2,100,0,0,0,"88%",0.88,0.88,1,0.95,877,843,22.2,65.7,6814314,26843.94,77523.4812286689
"336","10X086","P.S. 086 Kingsbridge Heights","BRONX","PK-6",40.869061,-73.897066,902,599,30.5,26.9,22.1,20.5,42.6,100,0,0,0,"98%",1,1,1,0.887,1629,NA,36,82.2,10444079,21428.21,88359.3824027073
"337","10X091","P.S. 091 Bronx","BRONX","K-5",40.858286,-73.907494,352,589,47.4,30.1,15.3,7.1,22.4,100,0,0,0,"77%",0.8,0.8,0.8,0.945,727,684,18.4,43,4824823,23604.49,78580.1791530945
"338","10X094","P.S. 094 Kings College School","BRONX","K-5",40.880661,-73.875268,564,583,58.3,27.3,11.9,2.5,14.4,100,0,0,0,"59%",0.83,1,1,0.942,1261,NA,20,81.4,8621833,23600.14,85027.9388560158
"339","10X095","The Sheila Mencher Van Cortlandt School (P.S/M.S 95)","BRONX    "," K-8",40.882898,-73.891256,814,592,43.1,31.7,17.8,7.4,25.2,100,4,0,0.0031055900621118,"30%",NA,NA,NA,0.824,1288,NA,21.4,66,7732135,21671.21,88468.3638443936
"340","10X118","William W. Niles (M.S. 118) Pace, Spectrum & Excellence","BRONX    "," 6-8",40.848339,-73.89308,1090,597,39.6,25.2,18.9,16.2,35.1,100,21,0,0.0178875638841567,"91%",0.86,0.79,0.79,0.902,1174,NA,26,66,7572262,21928.19,82307.1956521739
"341","10X141","Riverdale/Kingsbridge Academy (M.S./H.S. 141)","BRONX    "," 6-12",40.888338,-73.913486,618,600,29.6,28.6,25.7,16,41.7,100,26,0,0.0171844018506279,"66%",0.94,0.89,0.89,0.529,1513,778,12,82,8860582,19073.12,94261.5106382979
"342","10X159","P.S. 159 Luis Munoz Marin Biling","BRONX","K-5",40.85568,-73.893136,88,591,43.2,27.3,23.9,5.7,29.5,100,0,0,0,"100%",NA,NA,NA,0.865,193,166,1,13,1324749,24292,94624.9285714286
"343","10X205","P.S. 205 Fiorello LaGuardia","BRONX","K-5",40.855759,-73.881753,514,590,44.6,29.4,20,6,26.1,100,0,0,0,"96%",1,1,1,0.908,NA,NA,NA,NA,NA,NA,NA
"344","10X206","Ann Mersereau (M.S. 206)","BRONX    "," 6-8",40.859686,-73.906495,179,587,60.9,24,13.4,1.7,15.1,100,4,1,0.0193236714975845,"100%",0.71,0.71,0.71,0.913,207,187,0.7,15,1716597,27591.46,109337.388535032
"345","10X207","P.S. 207","BRONX","PK-5",40.878327,-73.906197,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,"92%",NA,NA,NA,0.86,277,239,3,21,2652087,26980.62,110503.625
"346","10X209","P.S. 209","BRONX","PK-2",40.856834,-73.897635,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,"92%",NA,NA,NA,0.945,220,210,10,15,1602217,26060.4,64088.68
"347","10X225","Theatre Arts Production Company School (TAPCo)","BRONX    "," 6-12",40.854493,-73.896717,166,592,42.2,36.7,15.1,6,21.1,100,9,0,0.0148026315789474,"94%",1,1,1,0.811,608,485,11,35,3972625,21876.73,86361.4130434783
"348","10X226","P.S. 226","BRONX","PK-5",40.855822,-73.916076,193,587,47.7,29,18.1,5.2,23.3,100,0,0,0,"97%",1,1,1,0.95,442,429,12,18,2926035,23284.24,97534.5
"349","10X228","Jonas Bronck Academy","BRONX    "," 6-8",40.861668,-73.891337,264,605,18.9,29.5,37.5,14,51.5,100,5,0,0.0186567164179104,"100%",1,1,0.86,0.907,268,240,6,14,1570680,23585.74,78534
"350","10X243","West Bronx Academy for the Future","BRONX    "," 6-12",40.860043,-73.888267,203,586,57.1,31,10.3,1.5,11.8,100,11,0,0.0181219110378913,"76%",1,0.89,1,0.946,607,574,14,31,4120811,23973.19,91573.5777777778
"351","10X244","The New School for Leadership and the Arts","BRONX    "," 6-8",40.875911,-73.901099,659,593,46.6,32.2,12.4,8.8,21.2,100,12,0,0.0160427807486631,"95%",0.9,0.86,0.95,0.95,748,724,14,39,4638716,21870.97,87522.9433962264
"352","10X246","P.S. 246 Poe Center","BRONX","K-5",40.865972,-73.8953,391,585,57.8,23.8,12.8,5.6,18.4,20,0,0,0,"78%",0.83,0.83,0.83,0.938,736,690,19.5,39,4998444,23838.42,85443.4871794872
"353","10X254","TEAM 254","BRONX    "," 6-8",40.858815,-73.890232,413,591,53.5,26.4,15.3,4.8,20.1,100,8,0,0.0170575692963753,"20%",NA,NA,NA,0.906,469,416,16,21,3178693,24587.49,85910.6216216216
"354","10X279","The Captain Manuel Rivera, Jr. School (P.S. 279)","BRONX    "," K-8",40.854432,-73.905566,740,593,44.7,29.5,16.8,9.1,25.8,100,6,0,0.00549450549450549,"100%",1,1,1,0.95,1092,NA,20,60,6470249,22592.05,80878.1125
"355","10X280","P.S./M.S. 280","BRONX    "," K-8",40.877202,-73.881773,580,598,31,33.8,23.4,11.7,35.2,100,2,0,0.00228310502283105,"79%",1,0.91,1,0.95,876,840,15,52.7,5584255,22355.11,82485.3028064993
"356","10X291","P.S. 291","BRONX","K-5",40.859243,-73.909763,314,594,36.6,27.1,21,15.3,36.3,100,0,0,0,"98%",1,1,1,0.95,638,631,5.5,39,3919174,21911.47,88071.3258426966
"357","10X306","P.S. 306","BRONX","K-5",40.850722,-73.910827,374,588,48.9,27.8,16,7.2,23.3,100,0,0,0,"83%",0.8,0.8,0.8,0.902,692,617,6,48,4317416,24551.72,79952.1481481481
"358","10X307","Luisa Pineiro Fuentes School of Science and Discovery","BRONX","K-5",40.869142,-73.901821,175,589,48.6,25.7,20,5.7,25.7,100,1,0,0.0025974025974026,"74%",1,0.88,1,0.87,385,329,15.2,19,2444309,25302.37,71471.0233918129
"359","10X308","Bronx Dance Academy",""," 6-8",NA,NA,244,596,40.2,37.3,16,6.6,22.5,100,4,0,0.0148698884758364,"26%",NA,NA,NA,0.937,269,250,4,15,1706166,21868.14,89798.2105263158
"360","10X310","P.S. 310 Marble Hill","BRONX","PK-5",40.872477,-73.905547,330,594,37.9,29.7,19.7,12.7,32.4,100,0,0,0,"95%",NA,NA,NA,0.95,677,646,16.9,40,4527467,22693.97,79568.8400702988
"361","10X315","The Lab School (P.S. 315)","BRONX    "," K-8",40.857842,-73.904202,169,593,45,26,22.5,6.5,29,100,0,0,0,"94%",NA,NA,NA,0.95,249,243,1,14,1392914,24279.04,92860.9333333333
"362","10X331","The Bronx School of Young Leaders","BRONX    "," 6-8",40.851823,-73.91118,362,594,43.6,29.6,19.3,7.5,26.8,100,6,0,0.0146699266503667,"100%",1,1,1,0.892,409,359,16,17,2696376,25884.57,81708.3636363636
"363","10X340","P.S. 340","BRONX","PK-5",40.869407,-73.897171,284,591,42.3,32,18.7,7,25.7,100,0,0,0,"100%",1,1,1,0.882,628,544,8,43,4241376,24962.77,83164.2352941177
"364","10X342","International School for Liberal Arts","BRONX    "," 6-12",40.870293,-73.898309,140,589,57.9,30.7,11.4,0,11.4,200,9,1,0.017208413001912,"100%",0.93,0.93,0.92,0.95,523,510,9,35,3905234,24314.9,88755.3181818182
"365","10X344","Ampark Neighborhood","BRONX","PK-5",40.883049,-73.891664,183,600,24,27.3,30.6,18,48.6,100,0,0,0,"86%",NA,NA,NA,0.539,379,200,10,17,2085813,21564.81,77252.3333333333
"366","10X360","P.S. 360","BRONX","PK-5",40.874717,-73.902214,189,586,50.3,27.5,16.9,5.3,22.2,100,0,0,0,"95%",NA,NA,NA,0.945,443,418,14.7,25,3286880,23808.58,82792.9471032745
"367","10X363","Academy for Personal Leadership and Excellence","BRONX    "," 6-8",40.859752,-73.900161,521,588,58.7,31.1,8.3,1.9,10.2,100,7,0,0.0125673249551167,"100%",0.94,1,0.89,0.946,557,496,11,42,4840141,30354.36,91323.4150943396
"368","10X368","IN-Tech Academy (M.S./H.S. 368)","BRONX    "," 6-12",40.879368,-73.909896,319,590,50.5,22.9,19.4,7.2,26.6,100,17,0,0.0169491525423729,"96%",0.88,0.88,0.88,0.871,1003,866,8.2,59,6254045,21316.84,93066.1458333333
"369","10X382","Elementary School for Math, Science, and Technology","BRONX","K-5",40.855337,-73.903139,139,588,48.2,29.5,14.4,7.9,22.3,100,0,0,0,"100%",NA,NA,NA,0.95,273,264,1,18,1719026,23117.84,90475.0526315789
"370","10X386","School for Environmental Citizenship","BRONX","PK-5",40.855337,-73.903139,244,584,60.2,24.6,11.9,3.3,15.2,100,0,0,0,"92%",NA,NA,NA,0.95,526,524,14,35,4090135,23734.41,83472.1428571429
"371","10X390","M.S. 390","BRONX    "," 6-8",40.854701,-73.913197,505,592,50.7,26.7,14.9,7.7,22.6,100,10,0,0.0185528756957328,"58%",1,1,0.9,0.95,539,529,27,19,3763648,25291.75,81818.4347826087
"372","10X391","The Angelo Patri Middle School","BRONX    "," 6-8",40.854493,-73.896717,499,583,71.1,21,6.8,1,7.8,100,9,0,0.0169811320754717,"91%",0.71,0.73,0.67,0.926,530,487,12,36,3516114,28384.12,73252.375
"373","10X396","P.S. 396","BRONX","PK-5",40.854335,-73.913016,150,583,64.7,20,11.3,4,15.3,100,0,0,0,"89%",0.89,1,1,0.926,303,282,25,36,4513415,44674.54,73990.4098360656
"374","10X447","The Creston Academy for Responsibility and Excellence (C.A.R.E.)","BRONX    "," 6-8",40.854872,-73.903458,448,596,38.4,35,17.2,9.4,26.6,100,7,0,0.0152173913043478,"84%",1,0.81,0.88,0.924,460,422,16.4,24,2973019,24746.69,73589.5792079208
"375","10X459","East Fordham Academy for the Arts","BRONX    "," 6-8",40.859752,-73.900161,276,582,74.3,20.3,5.1,0.4,5.4,100,5,0,0.0179856115107914,"38%",NA,NA,NA,NA,278,256,9,17,2021223,25545.07,77739.3461538462
"376","11X016","P.S. 016 Wakefield","BRONX","PK-5",40.902311,-73.854231,186,592,38.7,36.6,18.3,6.5,24.7,100,0,0,0,"100%",NA,NA,NA,0.95,325,317,1,28,2681244,29102.18,92456.6896551724
"377","11X019","The Judith K. Weiss Woodlawn School (P.S. 19)","BRONX    "," K-8",40.899295,-73.8675,327,605,17.7,25.1,33.9,23.2,57.2,100,0,0,0,"88%",1,1,1,0.605,511,305,4,28,3020961,21348.32,94405.03125
"378","11X021","P.S. 021 Philip H. Sheridan","BRONX","K-5",40.887888,-73.85942,366,588,48.1,30.1,18,3.8,21.9,10,0,0,0,"77%",NA,NA,NA,0.917,707,646,7,39,4427025,21198.74,96239.6739130435
"379","11X041","P.S. 041 Gun Hill Road","BRONX","K-5",40.874754,-73.867834,455,593,43.5,17.6,22,16.9,38.9,20,0,0,0,"91%",0.91,0.91,0.91,0.95,920,906,25,39,5392636,21281.62,84259.9375
"380","11X068","P.S. 068 Bronx","BRONX","PK-5",40.891603,-73.83888,326,595,31,31.6,24.8,12.6,37.4,100,0,0,0,"69%",0.73,0.73,0.73,0.709,664,463,16,63,6415142,31870.67,81204.329113924
"381","11X076","P.S. 076 The Bennington School","BRONX","K-5",40.869059,-73.860928,491,587,54.6,27.5,13.6,4.3,17.9,100,0,0,0,"81%",0.67,0.62,0.62,0.789,956,727,41,29,5609085,21972,80129.7857142857
"382","11X078","P.S. 078 Anne Hutchinson","BRONX","PK-5",40.878474,-73.850563,416,587,56.3,20.2,14.9,8.7,23.6,10,0,0,0,"94%",0.92,0.92,0.92,0.847,788,657,16.2,44,5128989,21554.44,85199.1528239203
"383","11X083","The Donald Hertz School (P.S. 83)","BRONX    "," K-8",40.849395,-73.859249,1177,599,32.5,27.2,20.3,20.1,40.4,100,4,0,0.00235571260306243,"96%",0.97,0.93,0.93,0.657,1698,NA,17,105,10540804,20591.26,86400.0327868852
"384","11X087","P.S. 087 Bronx","BRONX","K-5",40.895741,-73.846198,321,595,34,29.6,24.9,11.5,36.4,100,0,0,0,"56%",NA,NA,NA,0.852,594,500,5.7,34,3609919,21837.1,90929.9496221662
"385","11X089","P.S./M.S. 89","BRONX    "," PK-8",40.863055,-73.859387,827,594,40.1,30.7,18.1,11,29.1,100,3,0,0.00193798449612403,"94%",1,1,1,0.79,1494,NA,29.5,67,7756844,20435.86,80381.8031088083
"386","11X096","P.S. 096 Richard Rodgers","BRONX","K-5",40.86073,-73.868986,469,594,34.1,29,26,10.9,36.9,100,0,1,0,"89%",1,1,1,0.827,952,778,16.2,56,6071546,21180.95,84093.4349030471
"387","11X097","P.S. 097 Bronx","BRONX","K-5",40.863524,-73.846768,334,595,31.1,32.6,24.3,12,36.2,100,0,0,0,"65%",NA,NA,NA,0.804,659,525,9,42,4482096,23080.55,87884.2352941177
"388","11X103","P.S. 103 Hector Fontanez","BRONX","K-5",40.892198,-73.86194,570,586,55.4,23.2,15.1,6.3,21.4,100,0,0,0,"91%",1,1,1,0.898,1129,NA,19.5,67.7,6927102,23192.62,79439.2431192661
"389","11X105","P.S. 105 Sen Abraham Bernstein","BRONX","PK-5",40.853075,-73.866264,597,593,39,28.5,22.3,10.2,32.5,100,0,0,0,"100%",0.93,0.93,0.93,0.919,1101,NA,7,80,7376503,23844.38,84787.3908045977
"390","11X106","P.S. 106 Parkchester","BRONX","PK-5",40.836974,-73.854823,496,597,32.5,26.4,24.8,16.3,41.1,100,0,0,0,"95%",1,1,1,0.765,1048,778,7,69,7235310,20629.26,95201.4473684211
"391","11X108","P.S. 108 Philip J. Abinanti","BRONX","PK-5",40.8547,-73.8532,235,602,17.9,30.2,29.8,22.1,51.9,100,0,0,0,"48%",NA,NA,NA,0.782,597,464,10.8,31,3535046,20824.69,84570.4784688995
"392","11X111","P.S. 111 Seton Falls","BRONX","PK-5",40.884371,-73.839288,302,590,43.4,26.2,25.8,4.6,30.5,100,0,0,0,"41%",NA,NA,NA,0.926,628,581,11.9,43,4929172,25130.69,89784.5537340619
"393","11X112","P.S. 112 Bronxwood","BRONX","PK-5",40.88494,-73.843977,174,583,58,33.9,8,0,8,50,0,0,0,"71%",NA,NA,NA,0.95,381,373,6,28,3811675,27208.29,112108.088235294
"394","11X121","P.S. 121 Throop","BRONX","PK-5",40.866474,-73.85051,456,591,44.1,24.6,20.8,10.5,31.4,100,0,1,0,"100%",0.88,0.88,0.75,0.695,881,597,11,54.4,5553836,21093.27,84921.0397553517
"395","11X127","The Castle Hill School (J.H.S. 127)","BRONX    "," 6-8",40.837931,-73.853524,694,595,43.5,30.5,16.3,9.7,25.9,100,10,0,0.0124069478908189,"55%",1,1,1,0.793,806,618,19.6,37,4847873,21974.77,85651.4664310954
"396","11X144","Michelangelo Middle School (J.H.S. 144)","BRONX    "," 6-8",40.863735,-73.83607,442,592,52.3,25.1,15.2,7.5,22.6,100,6,0,0.0121951219512195,"90%",1,1,1,0.778,492,374,10,29,3293029,25780.17,84436.641025641
"397","11X153","P.S. 153 Helen Keller","BRONX","PK-5",40.874035,-73.831669,331,604,24.5,20.5,21.5,33.5,55,100,0,0,0,"100%",0.83,0.83,1,0.656,631,405,6,41,3995561,23140.28,85011.9361702128
"398","11X160","P.S. 160 Walt Disney","BRONX","PK-5",40.864073,-73.823816,156,594,32.1,32.7,27.6,7.7,35.3,100,0,0,0,"93%",NA,NA,NA,0.724,357,252,21.5,21,2983979,29710.49,70211.2705882353
"399","11X169","Baychester Academy","BRONX","PK-5",40.881344,-73.839386,174,603,20.1,27,25.3,27.6,52.9,100,0,0,0,"92%",NA,NA,NA,0.856,373,321,12.7,16,2165693,25204.32,75459.6864111498
"400","11X175","City Island School (P.S. 175)","BRONX    "," K-8",40.843873,-73.785219,221,604,15.8,34.8,28.1,21.3,49.3,10,1,0,0.00301204819277108,"96%",NA,NA,NA,0.527,332,170,2.6,20,2039801,22385.99,90256.6814159292
"401","11X178","P.S. 178 - Dr. Selman Waksman","BRONX","K-5",40.874035,-73.831669,237,591,43.5,34.6,15.6,6.3,21.9,100,0,0,0,"86%",NA,NA,NA,0.809,435,350,9.2,33,3104482,29285.58,73565.9241706161
"402","11X180","Dr. Daniel Hale Williams (I.S. 180)","BRONX    "," 6-8",40.87302,-73.833776,930,599,32.2,31.2,24.4,12.3,36.7,100,13,0,0.0134297520661157,"29%",1,NA,NA,0.764,968,725,11,56,6555145,22481.53,97837.9850746269
"403","11X181","Pablo Casals (I.S. 181)","BRONX    "," 6-8",40.87529,-73.833912,721,598,37,31.1,18.6,13.3,31.9,100,12,0,0.0135900339750849,"90%",0.92,0.96,0.92,0.826,883,720,19,50,5499132,21809.07,79697.5652173913
"404","11X189","Cornerstone Academy for Social Action","BRONX","PK-5",40.882778,-73.830616,173,591,41,24.9,25.4,8.7,34.1,100,0,0,0,"73%",NA,NA,NA,0.887,340,300,6,25,2672359,26247.59,86205.1290322581
"405","11X194","P.S./I.S. 194","BRONX    "," K-8",40.834782,-73.846632,909,598,31.9,26.1,26.1,16,42,100,3,0,0.00226244343891403,"95%",0.87,0.87,0.87,0.82,1326,NA,12,78,8257163,21171.27,91746.2555555556
"406","11X287","North Bronx School of Empowerment","BRONX    "," 6-8",40.880873,-73.860904,565,583,69,24.4,5,1.6,6.5,100,10,0,0.0176056338028169,"87%",0.82,0.82,0.82,0.882,568,493,18,26,3713881,24234.13,84406.3863636364
"407","11X326","Bronx Green Middle School","BRONX    "," 6-8",40.862109,-73.864577,318,587,62.3,19.2,11.9,6.6,18.6,200,4,0,0.010126582278481,"96%",0.91,0.91,0.91,0.939,395,370,6.7,21,2345895,22908.23,84689.3501805054
"408","11X355","Bronx Alliance Middle School","BRONX    "," 6-8",40.884953,-73.840524,328,586,67.1,23.8,7.6,1.5,9.1,100,5,0,0.0147492625368732,"94%",0.86,1,1,0.823,339,278,15,14,2054540,22995.89,70846.2068965517
"409","11X357","Young Voices Academy of the Bronx","BRONX","PK-5",40.854423,-73.863733,119,599,17.6,38.7,28.6,15.1,43.7,100,0,0,0,"92%",NA,NA,NA,0.865,313,263,4,20,2471039,21174.97,102959.958333333
"410","11X370","Leaders of Tomorrow","BRONX    "," 6-8",40.880873,-73.860904,365,590,54.5,31,11,3.6,14.5,100,7,0,0.0175,"95%",0.85,0.83,1,0.95,400,381,11,28,3143881,28420.46,80612.3333333333
"411","11X462","Cornerstone Academy for Social Action (CASA)","BRONX    "," 6-8",40.883025,-73.830366,229,590,51.5,34.1,12.7,1.7,14.4,100,5,0,0.0187265917602996,"57%",NA,NA,NA,0.846,267,218,3,17,1701260,23871.82,85063
"412","11X468","Pelham Academy of Academics and Community Engagement","BRONX    "," 6-8",40.862109,-73.864577,292,599,33.9,31.5,15.8,18.8,34.6,200,6,0,0.0185758513931889,"97%",1,1,1,0.885,323,285,16,12,2190390,23100.63,78228.2142857143
"413","11X481","The STEAM Bridge School","BRONX","K-3",40.843531,-73.865498,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,"86%",NA,NA,NA,0.878,164,143,6,8,1242190,21881.6,88727.8571428571
"414","11X483","The Matilda Avenue School","BRONX","K-3",40.901436,-73.854402,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,"100%",NA,NA,NA,0.848,125,105,2,8,980107,20792.79,98010.7
"415","11X498","Van Nest Academy (P.S./M.S. 498)","BRONX    "," K-8",40.84473,-73.858207,443,604,15.3,33.2,32.5,19,51.5,100,3,0,0.00471698113207547,"89%",0.9,0.8,0.9,0.766,636,478,3,42,3969961,23049.27,88221.3555555556
"416","11X529","One World Middle School At Edenwald","BRONX    "," 6-8",40.884953,-73.840524,321,597,33.6,38.3,20.9,7.2,28,100,5,0,0.0150602409638554,"100%",0.93,0.93,0.93,0.855,332,270,12.2,27,3042582,30301.12,77616.887755102
"417","11X532","Baychester Middle School","BRONX    "," 6-8",40.884953,-73.840524,295,588,56.6,31.5,8.1,3.7,11.9,100,5,0,0.0166666666666667,"92%",1,1,1,0.867,300,259,12,11,1764126,23025.4,76701.1304347826
"418","11X556","Bronx Park Middle School","BRONX    "," 6-8",40.862109,-73.864577,368,593,47.6,28.8,14.9,8.7,23.6,200,7,0,0.0172413793103448,"100%",1,1,1,0.901,406,359,17,23,2784521,24128.12,69613.025
"419","11X566","Pelham Gardens Middle School","BRONX    "," 6-8",40.863735,-73.83607,452,591,51.5,32.1,12.8,3.5,16.4,100,9,0,0.0199556541019956,"100%",0.86,0.93,1,0.778,451,345,4,31,2988216,23274.37,85377.6
"420","11X567","Linden Tree Elementary School","BRONX","PK-5",40.838759,-73.853203,184,589,46.7,32.6,14.1,6.5,20.7,100,0,0,0,"86%",NA,NA,NA,0.786,388,292,16,17.5,2436737,23600.66,72738.4179104478
"421","12X006","P.S. 006 West Farms","BRONX","PK-5",40.840445,-73.882531,231,583,57.1,27.7,12.6,2.6,15.2,100,0,0,0,"87%",NA,NA,NA,0.95,476,470,6,39,3947208,27094.53,87715.7333333333
"422","12X044","P.S. 044 David C. Farragut","BRONX","PK-5",40.842564,-73.891086,104,592,40.4,26.9,22.1,10.6,32.7,100,0,0,0,"89%",NA,NA,NA,0.95,249,242,18.5,10,2109974,25695.58,74034.1754385965
"423","12X047","P.S. 047 John Randolph","BRONX","K-5",40.832529,-73.866974,562,588,50.5,28.5,11.9,9.1,21,100,0,0,0,"94%",0.95,0.89,0.89,0.95,1075,NA,17,63.2,6591285,22816.54,82185.5985037406
"424","12X057","P.S. 057 Crescent","BRONX","PK-5",40.848748,-73.888987,206,587,52.4,24.3,17,6.3,23.3,100,0,0,0,"96%",NA,NA,NA,0.898,476,423,19,30,3427519,25635.9,69949.3673469388
