"","dbn","School.Name","Borough","gradespan","Latitude","Longitude","Number.Tested","Mean.Scale.Math.Score","%Level1","%Level2","%Level3","%Level4","%Level3&4","Mbps.Bandwidth","Full.Time.Certified.STEM.Teachers","Part.Time.Certified.STEM.Teachers","Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students","Total.Teacher.Response.Rate","Percent.of.STEMTeachers.That.Agree.With.17a","Percent.of.STEMTeachers.That.Agree.With.17b","Percent.of.STEMTeachers.That.Agree.With.17c","Percent.Poverty","K.12.Enrollment","K.12.FRPL.Count","Classroom.Teachers.w..0.3.Years.Experience","Classroom.Teachers.w..More.than.3.Years.Experience","Classroom.Teachers","Total.School.Funding.per.Pupil","Salary.Per.Classroom.Teacher"
"425","12X061","P.S. 061 Francisco Oller","BRONX","PK-5",40.836156,-73.892784,134,587,53.7,25.4,14.9,6,20.9,100,0,0,0,"78%",NA,NA,NA,0.95,256,250,10,12,1750694,24316.37,79577
"426","12X066","P.S. 066 School of Higher Expectations","BRONX","PK-5",40.831493,-73.88654,277,588,50.9,27.1,17.3,4.7,22,100,0,0,0,"74%",NA,NA,NA,0.897,607,543,15.5,43,4909307,26522.06,83919.7777777778
"427","12X067","C.S. 67 The Mohegan School","BRONX","PK-5",40.843781,-73.884192,250,596,35.2,26.8,20.4,17.6,38,100,0,0,0,"83%",1,1,1,0.917,489,442,27,16,2965452,23825.52,68964
"428","12X098","Herman Ridder (J.H.S. 98)","BRONX    "," 6-8",40.8359,-73.890458,238,586,65.5,23.1,9.2,2.1,11.3,100,3,0,0.0125,"100%",0.78,0.78,0.78,0.95,240,229,7,15,1804598,26126.12,82027.1818181818
"429","12X129","The Academy for Independent Learning and Leadership (P.S./M.S. 129)","BRONX    "," 6-8",40.845878,-73.886184,467,594,46.9,29.1,12.8,11.1,24,200,6,0,0.011605415860735,"88%",1,1,1,0.94,517,480,7,34,3567688,24120.84,87016.7804878049
"430","12X134","P.S. 134 George F. Bristow","BRONX","PK-5",40.831613,-73.894241,285,584,61.4,22.5,11.6,4.6,16.1,10,0,0,0,"96%",NA,NA,NA,0.95,600,564,9,36,4046666,23122.2,89925.9111111111
"431","12X150","P.S. 150 Charles James Fox","BRONX","PK-5",40.82471,-73.894349,418,590,44.3,27.8,18.7,9.3,28,10,0,0,0,"85%",1,1,0.82,0.95,822,775,9,56,5721733,24210.94,88026.6615384615
"432","12X190","ESMT - I.S. 190","BRONX    "," 6-8",40.836575,-73.892817,217,592,48.4,32.3,12,7.4,19.4,100,3,0,0.012448132780083,"100%",1,1,1,0.917,241,220,5,15,1856335,24758.65,92816.75
"433","12X195","P.S. 195","BRONX","PK-5",40.830811,-73.877305,452,583,60,23,13.1,4,17,30,0,0,0,"59%",0.8,0.8,0.8,0.939,928,869,41,27,5101908,21797.24,75028.0588235294
"434","12X196","P.S. 196","BRONX","PK-5",40.830811,-73.877305,463,588,50.3,28.1,14.7,6.9,21.6,30,0,0,0,"48%",NA,NA,NA,0.911,916,824,33,41,5587774,21068.15,75510.4594594595
