DBN,School Name,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,School Type,Student Enrollment,Full Time certified STEM teachers,Part Time certified STEM teachers,Ratio of Full Time Licensed STEM Teachers to Students*,Building Code,Mbps Bandwidth,Local School Code,K-12 Enrollment,K-12 FRPL Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Classroom Teachers,Total School Funding per Pupil,Total Teacher Response Rate,a.agree,b.agree,c.agree,3rd Mean Scale Score,3rd % Level 1,3rd % Level 2,3rd % Level 3,3rd % Level 4,3rd % Level 3+4,4th Mean Scale Score,4th % Level 1,4th % Level 2,4th % Level 3,4th % Level 4,4th % Level 3+4,5th Mean Scale Score,5th % Level 1,5th % Level 2,5th % Level 3,5th % Level 4,5th % Level 3+4,Gradespan,Address,Latitude,Longitude,% Poverty,Economic Need Index
27Q197,P.S. 197 The Ocean School,,,,,Elementary (K-5),498,0,0,0,Q197,100,Q197,457,440,9,36,3972143,27791.5,93,100,100,100,589.9381714,44.32989502,27.83505249,22.68041229,5.154639244,27.83505249,599.3421021,21.05263138,26.31579018,30.2631588,22.36842155,52.63158035,589.5333252,49.33333206,34.66666794,12,4,16,3K-5,"825 HICKSVILLE ROAD, QUEENS NY 11691",40.599664,-73.744128,0.95,0.886
27Q223,P.S. 223 Lyndon B. Johnson,,,,,Elementary (K-5),559,0,0,0,Q223,10,Q223,528,493,2,42,4429038,24804.5,73,83,83,83,595.0114746,25.28735542,36.78160858,29.88505745,8.045976639,37.93103409,594.8988647,31.46067429,38.20224762,17.97752762,12.35955048,30.33707809,589.8717651,51.28205109,25.64102554,16.66666603,6.410256386,23.07692337,3K-5,"125-20 SUTPHIN BOULEVARD, QUEENS NY 11434",40.673898,-73.78953,0.936,0.76
27Q273,P.S. 273,,,,,Elementary (K-5),340,0,0,0,Q273,10,Q273,304,284,4,23,2207326,24606.13,81,,,,597.7948608,25.64102554,25.64102554,41.0256424,7.692307472,48.71794891,600.6538696,25,21.15384674,34.61538315,19.23077011,53.84615326,598.3278809,36.06557465,37.70491791,13.11475372,13.11475372,26.22950745,PK-5,"88-07 102ND STREET, QUEENS NY 11418",40.693613,-73.844335,0.932,0.727
27Q306,New York City Academy for Discovery,,,,,Elementary (K-5),417,0,0,0,Q262,10,Q306,383,320,11,23,2264130,22567.86,100,,,,597.288147,27.11864471,25.42372894,32.20338821,15.25423717,47.45762634,597.2459106,26.22950745,34.42623138,19.67213058,19.67213058,39.34426117,595.1470337,33.82352829,36.76470566,22.05882263,7.352941036,29.41176414,PK-5,"95-16 89TH AVENUE, QUEENS NY 11421",40.691482,-73.848577,0.835,0.676
27Q333,Goldie Maple Academy,,,,,K-8,428,1,0,0.002336449,Q198,100,Q333,386,305,6,21,2838702,21121.48,67,,,,604.6379395,6.896551609,27.58620644,44.82758713,20.6896553,65.51724243,587.222229,51.11111069,35.55555725,11.11111069,2.222222328,13.33333302,592.9523926,45.23809433,33.33333206,14.28571415,7.142857075,21.4285717,PK-8,"3-65 BEACH 56 STREET, QUEENS NY 11692",40.594008,-73.786649,0.797,0.706
27Q362,Wave Preparatory Elementary School,,,,,Elementary (K-5),554,0,0,0,Q215,20,Q362,503,446,20,21,2903048,21873.64,93,,,,606.8493042,20.54794502,12.32876682,30.13698578,36.98630142,67.12329102,604.0952148,20.23809433,20.23809433,33.33333206,26.19047546,59.52381134,600.6489258,25.53191566,23.40425491,35.10638428,15.95744705,51.06383133,PK-5,"535 BRIAR PLACE, QUEENS NY 11691",40.599467,-73.758587,0.903,0.833
27Q377,P.S. 377,,,,,Elementary (K-5),141,0,0,0,Q335,100,Q377,35,24,11,3,1564860,38261.35,100,,,,,,,,,,,,,,,,,,,,,,3K-1,"150-15 RALEIGH STREET, QUEENS NY 11417",40.668083,-73.83685,0.688,0.571
28Q050,P.S. 050 Talfourd Lawn Elementary School,,,,,Elementary (K-5),797,0,0,0,Q050,10,Q050,720,688,18,34,4743042,21150.22,57,,,,605.852478,15.57377052,14.75409794,34.42623138,35.24590302,69.6721344,604.043457,24.63768196,18.84057999,22.46376801,34.05797195,56.52173996,602.0285645,22.8571434,25.7142849,32.38095093,19.04761887,51.42856979,PK-5,"143-26 101 AVENUE, QUEENS NY 11435",40.694868,-73.806842,0.95,0.777
28Q054,P.S. 054 Hillside,,,,,Elementary (K-5),565,0,0,0,Q054,10,Q054,565,448,7,33,3693116,22499.09,82,,,,601.0267944,18.75,24.1071434,38.3928566,18.75,57.1428566,596.5106201,31.9148941,31.9148941,15.95744705,20.21276665,36.17021179,591.6091919,55.17241287,22.98850632,18.39080429,3.448275805,21.83908081,K-5,"86-02 127 STREET, QUEENS NY 11418",40.702656,-73.824629,0.805,0.836
28Q055,P.S. 055 Maure,,,,,Elementary (K-5),513,0,0,0,Q055,10,Q055,452,373,4,36,3993744,24965.43,98,,,,600.34375,15.625,28.125,40.625,15.625,56.25,605.6707153,15.85365868,20.73170662,28.04878044,35.36585236,63.4146347,597.8903809,24.65753365,34.2465744,31.50684929,9.589040756,41.09589005,PK-5,"131-10 97 AVENUE, QUEENS NY 11419",40.69361,-73.816156,0.832,0.725
28Q080,PS 80 The Thurgood Marshall Magnet School of Mult,,,,,Elementary (K-5),523,0,0,0,Q080,20,,,,,,,,89,80,100,,600.9436646,25.35211182,18.30985832,29.57746506,26.7605629,56.33802795,593.3953247,32.5581398,36.0465126,17.4418602,13.95348835,31.3953495,590.916687,46.42856979,34.52381134,15.47619057,3.571428537,19.04761887,PK-5,"171-05 137TH AVENUE, JAMAICA NY 11434",40.673483,-73.769119,0.782,0.635
28Q082,P.S. 082 Hammond,,,,,Elementary (K-5),656,0,0,0,Q082,10,Q082,656,522,19,31,4132130,21958.86,85,,,,597.7155151,26.72413826,20.6896553,32.75862122,19.82758713,52.58620834,592.1775513,35.51401901,38.31775665,14.95327091,11.21495342,26.16822433,591.8283081,47.4747467,21.21212196,23.23232269,8.080807686,31.31313133,K-5,"88-02 144 STREET, QUEENS NY 11435",40.703897,-73.8122,0.814,0.86
28Q099,P.S. 099 Kew Gardens,,,,,Elementary (K-5),785,0,0,0,Q099,100,Q099,785,526,9,48.7,4872979,22769.81,89,100,88,88,605.5818481,14.54545498,17.27272797,38.18181992,30,68.1818161,616.2016602,7.563024998,13.4453783,23.52941132,55.46218491,78.99160004,607.444458,20.5128212,15.38461494,29.05982971,35.04273605,64.10256195,K-6,"82-37 KEW GARDENS ROAD, QUEENS NY 11415",40.711502,-73.827722,0.674,0.573
28Q117,P.S. 117 J. Keld / Briarwood School,,,,,Elementary (K-5),1016,0,0,0,Q117,20,Q117,945,552,5,66,5796892,21199,68,,,,599.2561035,14.63414669,27.43902397,45.12195206,12.80487823,57.92683029,599.5827637,27.15231705,27.81456947,19.20529747,25.8278141,45.03311157,604.4147949,22.9629631,27.40740776,22.9629631,26.66666603,49.62963104,PK-5,"85-15 143 STREET, QUEENS NY 11435",40.710428,-73.812968,0.601,0.659
28Q140,P.S. 140 Edward K Ellington,,,,,Elementary (K-5),473,0,0,0,Q140,10,Q140,439,400,13.5,21,2971970,21969.16,89,100,80,100,602,15.625,28.125,28.125,28.125,56.25,600.7026978,13.51351357,48.64864731,16.21621704,21.62162209,37.83783722,598.3421021,26.31579018,34.21052551,31.57894707,7.894736767,39.4736824,PK-5,"166-01 116 AVENUE, QUEENS NY 11434",40.687486,-73.781255,0.913,0.785
28Q144,P.S. 144 Col Jeromus Remsen,,,,,Elementary (K-5),893,0,0,0,Q144,10,Q144,839,188,8,49,5044423,20214.84,95,100,100,100,609.8666382,10.47619057,16.19047546,33.33333206,40,73.33333588,613.8487549,6.722689152,22.68907547,21.84873962,48.73949432,70.58823395,613.0714111,12.85714245,16.4285717,27.1428566,43.57143021,70.7142868,PK-5,"93-02 69 AVENUE, QUEENS NY 11375",40.71489,-73.852398,0.219,0.211
28Q160,P.S. 160 Walter Francis Bishop,,,,,Elementary (K-5),659,0,0,0,Q160,10,Q160,588,503,7,41,3834219,23603.69,78,100,80,80,596.7160645,20.98765373,35.80246735,35.80246735,7.407407284,43.20987701,591.960022,40,34,20,6,26,581.654541,71.8181839,19.09090996,7.272727489,1.818181872,9.090909004,PK-5,"109-59 INWOOD STREET, QUEENS NY 11435",40.688373,-73.799685,0.859,0.775
28Q174,P.S. 174 William Sidney Mount,,,,,Elementary (K-5),673,0,0,0,Q174,10,Q174,643,238,5,40,4035764,20343.13,64,,,,607.2403564,11.53846169,15.38461494,40.38461685,32.69230652,73.07691956,609.2815552,16.5048542,18.44660187,20.38834953,44.6601944,65.04854584,613.5999756,14,21,17,48,65,PK-5,"65-10 DIETERLE CRESCENT, QUEENS NY 11374",40.720583,-73.861462,0.383,0.355
28Q175,P.S. 175 The Lynn Gross Discovery School,,,,,Elementary (K-5),808,0,0,0,Q175,20,Q175,756,447,9,40,4517422,19538.01,100,100,100,100,600.3471069,25.6198349,16.52892494,32.23140335,25.6198349,57.85123825,605.1968384,18.89763832,22.83464622,25.98425102,32.28346634,58.26771545,608.7019043,19.23077011,23.07692337,20.19230843,37.5,57.69230652,PK-5,"64-35 102 STREET, QUEENS NY 11374",40.731016,-73.85221,0.604,0.467
