DBN,School Name,School Type.x,Borough,Latitude,Longitude,Math Proficiency,# of Comp Sci Courses,Mbps Bandwidth,PD17a,PD17b,PD17c,Scaled Mean Score,Poverty Percent,FRPL,TSFPP,Average Teacher Salary,PLVL34,Stem Activities Count,School Type.y,Ratio of Full Time Licensed STEM Teachers to Students*
20K192,The Magnet School for Math and Science Inquiry (P.S./I.S. 192),K-8,BROOKLYN,40.629303,-73.979995,45,,10,,,,60.33333333,85.8,552,23787.64,77992.10616,0.464088398,0,K-8,3:677
20K220,John J. Pershing (J.H.S. 220),Middle (6-8),BROOKLYN,40.640545,-74.000731,46,2,40,0,10,10,466.6666667,87,1308,20680.65,86269.95763,0.556428571,1,Middle (6-8),33:1520
21K690,Brooklyn Studio Secondary School,Secondary (6-12),BROOKLYN,40.604879,-73.994404,34,1,,0,0,0,81.66666667,77.5,715,20835.51,91903.78947,0.326530612,0,Secondary (6-12),5:471
20K223,Montauk (J.H.S. 223),Middle (6-8),BROOKLYN,40.634875,-73.981528,47,,40,10,14,14,292,95,926,22217.14,91416.04225,0.594748858,1,Middle (6-8),9:475
20K227,Edward B. Shallow (J.H.S. 227),Middle (6-8),BROOKLYN,40.62191,-73.995022,43,3,10,0,4,0,505,92.8,1387,20198.58,94724.0404,0.434323432,0,Middle (6-8),11:753
20K229,P.S./I.S. 229,K-8,BROOKLYN,40.610963,-74.013376,65,5,100,11,11,11,108,60.7,728,19202.57,92629.76593,0.654320988,2,K-8,3:1249
20K259,William McKinley (J.H.S. 259),Middle (6-8),BROOKLYN,40.62668,-74.01512,64,2,50,3,6,6,603.3333333,80.8,1490,18505.31,91809.01852,0.696685083,0,Middle (6-8),13:926
08X269,Bronx Studio School for Writers and Artists,Secondary (6-12),BRONX,40.820579,-73.893128,,,100,8,8,8,87.33333333,86.8,545,24732.97,84660.4902,0.145038168,0,Secondary (6-12),9:643
20K609,Urban Assembly School for Criminal Justice,Secondary (6-12),BROOKLYN,40.634875,-73.981528,40,,40,7,27,13,59.33333333,94.6,525,20746.47,75072,0.393258427,0,Secondary (6-12),3:139
20K686,Brooklyn School of Inquiry,K-8,BROOKLYN,40.60731,-73.986595,90,,50,,,,36.66666667,22.6,127,17218.14,81544.70803,0.936363636,0,K-8,1:566
21K095,The Gravesend School (P.S. 95),K-8,BROOKLYN,40.595698,-73.97518,34,,50,0,0,0,46,75.4,688,22243.92,92732.98507,0.543478261,0,K-8,3:943
21K096,Seth Low (I.S. 96),Middle (6-8),BROOKLYN,40.60754,-73.984661,29,3,40,4,4,4,235.6666667,80.4,610,28071.45,88023.50136,0.429985856,0,Middle (6-8),17:779
21K098,The Bay Academy (I.S. 98),Middle (6-8),,,,89,3,50,0,0,0,416,55.3,841,17012.19,92288.91781,0.965544872,2,Middle (6-8),2:153
21K099,Isaac Asimov (P.S. 99),K-8,BROOKLYN,40.621565,-73.965595,38,,10,10,10,10,69.66666667,75.5,623,20058.79,90530.03378,0.277511962,0,K-8,1:876
